service,city,state,company_name,phone,address,website,description,services_offered,pricing,google_rating,google_reviews_count,source_url,collected_date,actual_website,cost_range,years_in_business,license_number,insured,bbb_accredited,bbb_rating,service_area,business_hours,email,logo_url
basement waterproofing,Auburn,ME,Dean Smith Construction,,,https://www.angi.com/companylist/us/me/durham/dean-smith-construction-reviews-10984786.htm,"Dean Smith, a seasoned professional with extensive experience in excavation, transitioned from a successful career in the field to establish his own excavation and framing company in 2012. Over the years, he has demonstrated remarkable entrepreneurial prowess by expanding his business to specialize in constructing custom, energy-efficient homes.","Acoustic Ceiling Tiles - Install, Architect, Major Home Repairs (General Contractor), Asphalt Shingle (CERTAINTEED) Flashings, Fascia and Soffit Replacement, General Roofing Services, Custom Designed Homes and Garages, Complete Roofing Replacements.",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.deansmithconstruction.com,"$6,500",14 years,,Yes,,,Southern Maine,,,
basement waterproofing,Auburn,ME,swb plumbing/hvac,,,https://www.angi.com/companylist/us/me/portland/swb-plumbinghvac-reviews-10865188.htm,"SWB Plumbing/HVAC provides reliable plumbing services in the Portland, Lewiston, and Auburn areas. Their team is dedicated to delivering top-notch plumbing solutions for home projects, emphasizing exceptional service and attention to detail.","Plumbing for a remodel or addition, installation of faucets, fixtures, and pipes, repair or replacement, water heater installation and replacement, among others.",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.swbplumbinghvac.com,"$350 - $1,000",,,Yes,,,"Portland, Lewiston, Auburn",,,
basement waterproofing,Auburn,ME,Mold Bros.,,,https://www.angi.com/companylist/us/me/bowdoin/mold-bros-reviews-10139766.htm,"Mold Bros is a local family business, offering personal, flexible and direct service for mold removal without the need for a call center.","Water Removal Recovery Service, Indoor Air Quality Testing, Commercial Toxicity and Mold Removal, Emergency Services",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/bowdoin/mold-bros-reviews-10139766.htm,"$2,700 - $3,600",,,Yes,,,Northeast,,,
basement waterproofing,Auburn,ME,Hilltop Drain & Plumbing,,,https://www.angi.com/companylist/us/me/livermore-falls/hilltop-drain-plumbing-reviews-111476239.htm,"We pride our company on reliability, great communication, integrity, and quality work. We strongly believe in giving our absolute best in all of our projects no matter how big or small. We are experts in our trade and will always keep you educated on your particular task or project. We look forward to earning your business!","Drain cleaning/ blockage removal, Leak location and or repair, Plumbing",,4,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/livermore-falls/hilltop-drain-plumbing-reviews-111476239.htm,"$175 - $1,809",5 years,,Yes,,,Livermore Falls,,,
basement waterproofing,Auburn,ME,Concrete Xtreme,Phone number not provided,Address not provided,https://www.angi.com/companylist/us/me/pittston/concrete-xtreme-reviews-1.htm,Concrete Xtreme is a family owned and operated company that values honesty and integrity and treats your home as if it were our own. We have many years of experience to give you confidence that we are your number one choice for your next home project. You will find us to be competitively priced with close attention to the details. We look forward to building a lasting relationship and guarantee your satisfaction!,"Concrete Driveways & Floors Installation, Poured Concrete Wall Service, Concrete Crack Injections, Excavation, Septics and Leech Fields, Waterproofing",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.concretextreme.com,"$375 - $1,800",7 years,"Self-reported, check with the business for verification",Yes,,,"Pittston, ME and surrounding areas",,,
basement waterproofing,Auburn,ME,Midcoast Painting,,,https://www.angi.com/companylist/us/me/brunswick/midcoast-painting-reviews-1.htm,"Here at, Midcoast Painting, we sustain our business on quality and integrity. We are experts in our trade and our commitment to quality from beginning to end of your project. We look forward to earning your business. Call us anytime, with any questions you may have. Thanks for your time and have a great day.","Exterior, Interior Trim, Kitchen cabinets, Painting, Windows, Plaster Repair, Cabinets Refinish, Deck, Fence, Patio or Porch Clean and Seal",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.midcoastpainting.com,"$500 - $15,000",27 years,,Yes,,,"Brunswick, ME and surrounding areas",,,https://www.google.com/s2/favicons?domain=midcoastpainting.com&sz=128
basement waterproofing,Auburn,ME,"J D Chapman Contracting, LLC",Not provided,Not provided,https://www.angi.com/companylist/us/me/sumner/j-d-chapman-contracting-llc-reviews-1.htm,"J D Chapman Contracting, LLC, is a small veteran owned company that provides tree service, excavation, lot clearing, and hardscaping services to Sumner and the surrounding areas. This includes tree removal, dug wells, septic systems, gravel roads, and drainage. Joel Chapman is a licensed and fully insured arborist. Customer satisfaction is our top priority as we provide fast, friendly and reliable service.","Excavation, Tree Service, Lot Clearing, Hardscaping",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/sumner/j-d-chapman-contracting-llc-reviews-1.htm,"Not specified, but examples of previous jobs are $400 and $800",19 years,,Yes,,,Sumner and surrounding areas,,,
basement waterproofing,Auburn,ME,Upright Building Services,Not provided,Not provided,https://www.angi.com/companylist/us/fl/auburndale/upright-building-services-reviews-470272.htm,"Upright Building Services is a full service building contractor able to handle any home improvement project and light commercial construction. With a crew of tried and trusted co-workers, we are ready for whatever you need, from a small repair to a new home. All work comes with manufacturer’s warranties as well as a 2-year warranty on all workmanship.","Appliance installation, Repair or Service for Fridge, Freezer or Ice Maker, Electrical for Home Addition or Remodel installation, Bath, additions, attic access installations, blown in insulation, built in cabinets, ceramic tile, decks, designs, doors, excavation, foundations, framing, full renovations, garages, gutters, hardwood floors, interior & exterior painting & custom trim, kitchen & basement remodels, maintenance free exteriors, new & replacement windows, new home construction, new siding, painting, porches, rot repair, sheetrock, sunrooms.",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.uprightbuildingservices.com,"$350 to $35,000 depending on the project",26 years,,Yes,,,Florida,,,
basement waterproofing,Auburn,ME,Phoenix Hill Restorations,508.951.8562,Not provided,https://www.angi.com/companylist/us/me/portland/phoenix-hill-restorations-reviews-8783125.htm,"Phoenix Hill Restorations is a General Contracting business that specializes in Historic Preservation, Restoration and Renovation of older homes. They currently accept interior trim projects due to high demand. The owner/manager, Mickel Zuidhoek, hires subcontractors for larger projects and holds bi-weekly meetings with clients to manage the work progress and budget.","General Contracting, stair construction, complete trim carpentry services, and more.",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/portland/phoenix-hill-restorations-reviews-8783125.htm,"Projects can be done on a bid basis or time and materials. Typical project costs mentioned include $1,700, $6,000, and $30,000.",35 years,Not provided,No,,,Portland and surrounding areas,,,
basement waterproofing,Auburn,ME,Building Maintenance Plus,,,https://www.angi.com/companylist/us/me/auburn/building-maintenance-plus-reviews-151816739.htm,"Welcome to Building Maintenance Plus! We are the premier professional carpentry company that offers the highest quality and most attentive customer service. We are known to pay exquisite attention to detail while making customer satisfaction our top priority. Please call us today to schedule your appointment. We Proudly Offer Honey do list Handyman Services, Interior Painting, Carpentry, Dywall, Residential & Commercial and much more.","Remodeling general, bathroom, kitchen & basement, siding installation & repairs, carpentry, interior painting, drywall, handyman, door & window replacement.",,5,1,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,,"$100 to $5,000",27 years,Not provided,Yes,,,"Auburn, ME and surrounding areas",,,
basement waterproofing,Auburn,ME,"Basement Improvements, LLC",,,https://www.angi.com/companylist/us/me/lyman/basement-improvements-llc-reviews-1.htm,"We pride our company on reliability, great communication, integrity, and quality work. We are experts in our trade and will do our best, to keep you as educated as we can, on your particular task or project.","Crawlspace Encapsulation, Foundation crack repair, Foundation or Basement - Waterproofing, Guardian Perimeter Drains, Sump Pump Systems",,4.8,23,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/lyman/basement-improvements-llc-reviews-1.htm,"$1,200 - $15,853",8 years of experience,,Yes,,,,,,
basement waterproofing,Auburn,ME,octagon-restoration,,,https://www.angi.com/companylist/us/me/windham/octagon-cleaning-and-restoration-reviews-2187896.htm,"Evergreen Air Quality Services specializes in comprehensive indoor air quality inspections and environmental testing, including mold, asbestos, VOC, dust, and bacterial sampling. With over 20 years of experience and rapid 24–48 hour lab results, they provide impartial assessments for residential, commercial, and institutional properties in Maine and New Hampshire.","mold remediation, water damage restoration, carpet cleaning, air duct cleaning, and more for Residential and Commercial properties.",,4.7,96,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.octagonrestoration.com,"$99 - $9,800",24 years,,Yes,,,Maine and New Hampshire,,,https://img.logo.dev/octagonrestoration.com?token=pk_NFrl5GunTOeNhOmq-xZEIw
basement waterproofing,Auburn,ME,DryLock Systems of New England,,,https://www.angi.com/companylist/us/me/alfred/drylock-systems-of-new-england-reviews-156460574.htm,"DryLock Systems is a family owned business with over 30 years of construction experience, specializing in wet basement repair with a 100% satisfaction rate. They offer emergency basement pumping, sump pump installations, and service, as well as discounts for seniors and veterans.","Concrete Flatwork - Repair & Resurface, Poured Concrete Wall Service, Concrete Foundation Installation, Basement Make-Overs, Living Space Construction, Concrete Floor Coatings, Concrete Repairs, Foundation Crack Repairs, Foundation Wall Waterproofing, French Drains, Garage & Basement Floor Repairs, Iron Bacteria Repairs, Sump Pumps, Under Floor, Wet Ledge.",,4.2,9,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.drylocksystems.com,"$400 - $3,000",30 years,Contact business to check licensing information.,Yes,,,New England,,,
basement waterproofing,Auburn,ME,Marshall Home Pros,,,https://www.angi.com/companylist/us/me/old-orchard-beach/marshall-home-pros-reviews-156426016.htm,"General Contracting / Home Remodeling Pro's. From the ground up inside and out we have you covered. We have the Best customer service and Best Quality workman In Maine and New Hampshire. If your are looking for a full service company then contact us today! FULL SCALE Home, Business, Condo, 3 unit , 4 unit and above Remodel inside and out. We can give you itemized quotes after a in home meeting in under 2 days.","Azek Installation, Decks (including composite), Door Installation, Hardscapes - Patios & Walkways, Lawn Care, Roofing, Siding, Window Installation, asphalt sealcoating, basement remodeling, closets, concrete slabs for foundations, custom bathroom remodeling, kitchen remodel, leaf removal, pavement repair, roof ice & snow removal",,3.8,130,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.marshallhomepros.com,Prices by Hour or by the Job,26 years of experience,,Yes,,,Maine and New Hampshire,,,https://img.logo.dev/marshallhomepros.com?token=pk_NFrl5GunTOeNhOmq-xZEIw
basement waterproofing,Auburn,ME,Northeast Home Inspections,Not provided,Not provided,https://www.angi.com/companylist/us/me/orono/northeast-home-inspections-reviews-1.htm,"Northeast Home Inspections is the solution to all of your home inspection needs. We take great pride in our extreme professionalism, timeliness, and superior customer service on every job. We make sure to develop a lasting relationship, so that the next time service is needed, there will be no question on who to call. Satisfaction guaranteed!","Complete Home Inspection, Foundation Drainage Installation and Replacement, Foundation, Basement or Crawlspace Waterproofing / Encapsulation",,4.8,6,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/orono/northeast-home-inspections-reviews-1.htm,$875,7 years,Not provided,Yes,,,,,,
basement waterproofing,Auburn,ME,Bennett Family Carpentry& Remodeling,,,https://www.angi.com/companylist/us/me/otisfield/bennett-family-carpentry-remodeling-reviews-16993256.htm,We at Bennett Family Works are committed to the finest craftsmanship available. We are insured and stand behind our work 100%. Call us today for an appointment.,"Additions and Remodeling, Carpentry, Custom Home Building, Decks, Porches and Sunrooms, fences",,4,5,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/otisfield/bennett-family-carpentry-remodeling-reviews-16993256.htm,"$15,000",37 years,,Yes,,,"Otisfield, ME",,,
basement waterproofing,Auburn,ME,Hampton Enterprise LLC,334-648-3817,Not specified in the content.,https://www.angi.com/companylist/us/al/slocomb/hampton-enterprise-llc-reviews-6188233.htm,"Our mission at Hampton Enterprise LLC is to provide clients with superior customer service, quality work and speedy service in all aspects of their home improvement needs. Licensed, insured and trusted since 1989; come discover the Hampton difference today!","Acoustic Ceiling Tiles - Install, Carpentry Framing - Install, Carpentry Framing - Repair, installation and repair of Windows, Doors, Flooring, Sinks, Bathtubs, Showers, Sprinkler Systems, Interior and Exterior Home Painting, Custom Welding Fabrication and Carpentry.",,3.7,9,https://www.angi.com/companylist/us/me/auburn/basement-waterproofing.htm,2026-06-05,Not provided in the content.,"Varies by project, with examples from $1,000 to $62,800 cited in reviews.",37 years,Not specified in the content.,Yes,,,"Local service in Alabama and surrounding states, including areas like Dothan, Birmingham, Huntsville, and others.",,,
basement waterproofing,Bangor,ME,Aerus Electrolux,Phone number not provided.,Address not provided.,https://www.angi.com/companylist/us/me/brewer/aerus-electrolux-reviews-1.htm,"We are veteran owned, and local company. We have over 95 years of industry experience. We specialize in water treatment, air purification, floor-surface care, and basement smell remediation. We pride ourselves on the quality of our work, as well as our commitment to outstanding results. We look forward to building lasting relationships, and guarantee your satisfaction! We offer Free Water and Air Quality Testing. We also offer mold testing at a charge. We specialize in ActivePure technology by NASA. ActivePure has been proven to kill RNA, and DNA viruses.","Water Treatment & Purification System Installation and Replacement, Water Treatment & Purification System Repair or Service, Indoor Air Quality Testing, Air Purification (ActivePure by NASA), Basement Smell Remediation, Floor & Surface Care.",,5,1,https://www.angi.com/companylist/us/me/bangor/basement-waterproofing.htm,2026-06-05,https://www.aerushome.com/,"$6,000 - $30,000",102 years,Contact business to see additional licenses.,Yes,,,Local area; specific cities not mentioned.,,,https://img.logo.dev/aerushome.com?token=pk_NFrl5GunTOeNhOmq-xZEIw
basement waterproofing,Bangor,ME,Parker K Bailey & Sons Inc,,,https://www.angi.com/companylist/us/me/brewer/parker-k-bailey-and-sons-inc-reviews-4863562.htm,Moving and Storage,"Residential and commercial moving, storage & packing facilities.",,5,1,https://www.angi.com/companylist/us/me/bangor/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/brewer/parker-k-bailey-and-sons-inc-reviews-4863562.htm,"Not specified, reviews indicate costs ranging from $465 to $5,000.",64 years,,Yes,,,"Brewer, Maine and out-of-state moving services",,,
basement waterproofing,Bangor,ME,Eastern Maine Drainage,,"Old Town, ME",https://www.angi.com/companylist/us/me/old-town/eastern-maine-drainage-reviews-1.htm,"At Eastern Maine Drainage, customer satisfaction is our top priority. We take pride in our professionalism, attention to detail, and commitment to providing the best waterproofing solutions in the industry. Whether you're dealing with a leaky basement and need a full system installed, or looking to upgrade your sump pump, we're here to help protect your home from water intrusion, so you can have peace of mind. We also offer tree removal, junk removal, demo work etc.","Foundation Drainage Installation and Replacement, Foundation, Basement or Crawlspace Waterproofing / Encapsulation, Basement Drainage Channels Installation, Tree Removal, Junk Removal, Demolition Work",,5,7,https://www.angi.com/companylist/us/me/bangor/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/old-town/eastern-maine-drainage-reviews-1.htm,"$100 - $12,500",2 years,,Yes,,,"Old Town, ME",,,
basement waterproofing,Bangor,ME,Proline Gutter LLC,,,https://www.angi.com/companylist/us/nh/nashua/gold-stone-llc-reviews-1.htm,"At Proline Gutter, we specialize in high-quality gutter installation, repair, and maintenance services tailored to meet the unique needs of your home. Our skilled team is committed to delivering exceptional craftsmanship and outstanding customer service. We use only the best materials to ensure your gutters function effectively, protecting your property from water damage and enhancing its curb appeal.","Gutter Cleaning, Gutter Maintenance, Gutter guards, Seamless Gutter (Aluminum, Galvanized, Copper)",,5,1,https://www.angi.com/companylist/us/me/bangor/basement-waterproofing.htm,2026-06-05,https://www.prolinegutter.com,Free estimates available,27 years,,Yes,,,Local area served (specific cities not mentioned),,,https://img.logo.dev/prolinegutter.com?token=pk_NFrl5GunTOeNhOmq-xZEIw
basement waterproofing,Bangor,ME,Moosely Odd Jobs,Not provided,Not provided,https://www.angi.com/companylist/us/me/saint-albans/moosely-odd-jobs-reviews-1.htm,Here at Moosely Odd Jobs we are a full service construction company working with residential and commercial properties. No job is too large or small for us and we pride ourselves on our professionalism and craftsmanship. Call now for a free quote.,"Emergency Repairs and Renovations, Gutters, Roofing and Siding",,5,1,https://www.angi.com/companylist/us/me/bangor/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/saint-albans/moosely-odd-jobs-reviews-1.htm,"$375 - $2,200",7 years of experience,Not provided,Yes,,,Residential and commercial properties,,,
basement waterproofing,Bangor,ME,Carmichael Electric,Contact number not provided,"Hermon, ME",https://www.angi.com/companylist/us/me/hermon/carmichael-electric-reviews-10064529.htm,"A small independent operation focusing on small electrical projects, remodel work, and consultations, including installing new devices, panel upgrades, new lighting, replacing old fixtures, and rewiring older homes.","Electrical for Home Addition or Remodel Installation, Electrical Wiring or Panel Upgrade, Lightning Protection Install or Repair, Fixtures and device repair and installation, Installing new circuits and replacing old ones, New circuit breakers as well as panel upgrades, Troubleshoot and diagnosing.",,5,1,https://www.angi.com/companylist/us/me/bangor/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/hermon/carmichael-electric-reviews-10064529.htm,"$150 - $4,500",6,Contact business to verify,Yes,,,"Hermon, ME",,,
basement waterproofing,Bangor,ME,Nason's Home Solutions,Not provided,Not provided,https://www.angi.com/companylist/us/me/old-town/nasons-home-solutions-reviews-1.htm,"With over 10 years of experience the industry, we are the experts you need to take care of your home or business. We handle everything from insulation to waterproofing. We will treat your home as we would treat our own.","Batt, Rolled or Reflective Insulation - Install or Upgrade, Blown-In Insulation - Install or Upgrade, Foundation or Basement - Waterproofing, Mold Remediation",,5,1,https://www.angi.com/companylist/us/me/bangor/basement-waterproofing.htm,2026-06-05,https://www.angi.com/companylist/us/me/old-town/nasons-home-solutions-reviews-1.htm,"$1,600 - $4,500",17 years,Contact business for details,Yes,,,"Old Town, Maine",,,
basement waterproofing,Bangor,ME,"Insulation of Maine, Inc.",Contact business for phone number,Contact business for address,https://www.angi.com/companylist/us/me/hancock/insulation-of-maine-inc-reviews-1.htm,"We serve eastern and downeast. We are Maine's #1 Insulation contractor. Each of our employees boasts years of industry experience and are certified as well! We take pride in the commitment to the quality of work we produce, and the long-term relationships we build with our clients. We use the latest products such as spray foam fiberglass and cellulose. We are also the areas only concrete lifting and jacking company using a specialized spray foam.","Air Sealing, Cellulose Insulation, Concrete leveling and Slab Jacking, Fiberglass Insulation, Spray foam Insulation, Batt, Rolled or Reflective Insulation Install or Upgrade, Blown In Insulation Install or Upgrade, Soundproofing Service",,4,1,https://www.angi.com/companylist/us/me/bangor/basement-waterproofing.htm,2026-06-05,https://www.insulationofmaine.com,"$3,450 - $4,000",10 years,Contact business for details,Yes,,,Eastern and Downeast Maine,,,https://img.logo.dev/insulationofmaine.com?token=pk_NFrl5GunTOeNhOmq-xZEIw
